Away,Home,Away Q1,Away Q2,Away Q3,Away Q4,Home Q1,Home Q2,Home Q3,Home Q4
Green Bay Packers,Dallas Cowboys,4,1,8,4,4,7,0,7
Kansas City Chiefs,Green Bay Packers,0,0,0,0,7,4,8,5
Kansas City Chiefs,Buffalo Bills,7,7,7,1,7,7,7,7
Los Angeles Rams,Green Bay Packers,7,7,7,7,0,4,1,8
Cleveland Browns,Dallas Cowboys,0,7,7,4,4,4,5,2
Dallas Cowboys,Green Bay Packers,0,0,0,7,7,4,4,1
Oakland Raiders,Green Bay Packers,0,7,7,4,3,6,6,3
Houston Oilers,Oakland Raiders,0,0,0,7,3,7,7,0
Dallas Cowboys,Cleveland Browns,7,0,3,0,3,0,4,1
Minnesota Vikings,Baltimore Colts,0,0,0,4,0,7,1,4
Baltimore Colts,Cleveland Browns,0,7,4,4,0,0,0,0
New York Jets,Baltimore Colts,0,7,3,6,0,0,0,7
Kansas City Chiefs,Oakland Raiders,0,6,6,6,1,8,8,1
Oakland Raiders,New York Jets,0,0,3,3,0,3,0,7
Los Angeles Rams,Minnesota Vikings,7,7,7,0,7,7,4,3
Cleveland Browns,Dallas Cowboys,7,7,4,8,0,0,7,4
Cleveland Browns,Minnesota Vikings,0,0,0,7,4,4,7,7
Minnesota Vikings,Kansas City Chiefs,0,0,7,7,3,6,3,3
Kansas City Chiefs,New York Jets,0,3,6,3,3,3,3,6
Houston Oilers,Oakland Raiders,0,0,0,7,8,5,9,6
Kansas City Chiefs,Oakland Raiders,0,7,4,7,7,7,7,7
Cincinnati Bengals,Baltimore Colts,0,0,0,0,7,0,0,7
Detroit Lions,Dallas Cowboys,0,0,0,0,3,3,3,5
Miami Dolphins,Oakland Raiders,0,7,7,4,0,7,4,1
San Francisco 49ers,Minnesota Vikings,7,0,0,7,7,7,7,4
Oakland Raiders,Baltimore Colts,0,3,0,7,3,0,0,7
Dallas Cowboys,San Francisco 49ers,0,3,7,7,3,3,0,0
Dallas Cowboys,Baltimore Colts,3,3,3,3,0,6,6,6
Dallas Cowboys,Minnesota Vikings,3,6,0,0,0,3,3,2
Miami Dolphins,Kansas City Chiefs,0,0,7,4,0,0,7,4
Baltimore Colts,Cleveland Browns,0,4,7,0,0,0,3,3
Washington Redskins,San Francisco 49ers,7,0,3,0,0,3,7,4
San Francisco 49ers,Dallas Cowboys,0,0,3,3,0,7,7,4
Baltimore Colts,Miami Dolphins,0,0,0,0,7,7,4,1
Miami Dolphins,Dallas Cowboys,0,3,3,3,3,0,7,4
Dallas Cowboys,San Francisco 49ers,3,3,3,0,7,1,8,8
Oakland Raiders,Pittsburgh Steelers,0,0,0,7,0,0,3,3
Cleveland Browns,Miami Dolphins,0,0,7,4,0,0,0,0
Green Bay Packers,Washington Redskins,0,3,3,3,0,0,0,6
Miami Dolphins,Pittsburgh Steelers,0,7,4,1,7,7,0,7
Dallas Cowboys,Washington Redskins,0,3,3,3,0,0,0,6
Washington Redskins,Miami Dolphins,0,0,0,7,7,4,4,4
Washington Redskins,Minnesota Vikings,0,7,0,0,0,3,0,7
Pittsburgh Steelers,Oakland Raiders,0,7,7,4,7,0,3,3
Los Angeles Rams,Dallas Cowboys,0,6,6,6,4,7,7,7
Cincinnati Bengals,Miami Dolphins,3,6,6,6,4,1,1,4
Oakland Raiders,Miami Dolphins,0,0,0,0,7,4,7,7
Minnesota Vikings,Dallas Cowboys,3,0,7,7,0,0,0,0
Minnesota Vikings,Miami Dolphins,0,0,0,7,4,7,4,4
St. Louis Cardinals,Minnesota Vikings,0,7,7,4,0,7,3,0
Miami Dolphins,Oakland Raiders,7,0,6,6,0,7,4,8
Buffalo Bills,Pittsburgh Steelers,7,7,4,4,3,9,9,2
Washington Redskins,Los Angeles Rams,3,0,0,0,7,7,0,9
Los Angeles Rams,Minnesota Vikings,0,3,3,0,0,7,7,4
Pittsburgh Steelers,Oakland Raiders,0,3,3,4,3,3,0,3
Pittsburgh Steelers,Minnesota Vikings,0,2,9,6,0,0,0,6
Baltimore Colts,Pittsburgh Steelers,0,7,0,0,7,7,4,8
St. Louis Cardinals,Los Angeles Rams,0,9,6,3,4,8,8,5
Dallas Cowboys,Minnesota Vikings,0,0,7,7,0,7,7,4
Cincinnati Bengals,Oakland Raiders,0,7,4,8,3,7,4,1
Dallas Cowboys,Los Angeles Rams,7,1,4,7,0,0,0,7
Oakland Raiders,Pittsburgh Steelers,0,0,0,0,0,3,3,6
Pittsburgh Steelers,Dallas Cowboys,7,7,7,1,7,0,0,7
Washington Redskins,Minnesota Vikings,3,3,6,0,4,1,5,5
New England Patriots,Oakland Raiders,7,7,1,1,3,0,0,4
Pittsburgh Steelers,Baltimore Colts,9,6,6,0,7,7,7,4
Los Angeles Rams,Dallas Cowboys,0,7,7,4,3,0,0,2
Los Angeles Rams,Minnesota Vikings,0,0,3,3,7,0,7,4
Pittsburgh Steelers,Oakland Raiders,0,7,7,7,3,7,4,4
Oakland Raiders,Minnesota Vikings,0,6,9,2,0,0,7,4
Pittsburgh Steelers,Denver Broncos,0,4,4,1,7,4,1,4
Oakland Raiders,Baltimore Colts,7,7,1,1,0,0,7,1
Chicago Bears,Dallas Cowboys,0,0,0,7,7,7,4,7
Minnesota Vikings,Los Angeles Rams,7,7,7,4,0,0,0,7
Minnesota Vikings,Dallas Cowboys,0,6,6,6,6,6,6,3
Oakland Raiders,Denver Broncos,3,3,3,7,7,7,4,0
Denver Broncos,Dallas Cowboys,0,0,0,0,0,3,0,7
Philadelphia Eagles,Atlanta Falcons,6,6,3,3,0,0,0,4
Houston Oilers,Miami Dolphins,7,7,7,7,7,7,7,9
Atlanta Falcons,Dallas Cowboys,7,0,0,0,0,3,0,7
Denver Broncos,Pittsburgh Steelers,3,0,0,0,6,9,9,3
Minnesota Vikings,Los Angeles Rams,3,0,0,0,0,0,4,4
Houston Oilers,New England Patriots,0,1,4,1,0,0,7,4
Dallas Cowboys,Los Angeles Rams,0,0,7,8,0,0,0,0
Houston Oilers,Pittsburgh Steelers,0,3,5,5,4,1,4,4
Pittsburgh Steelers,Dallas Cowboys,7,1,1,5,7,4,7,1
Denver Broncos,Houston Oilers,7,7,7,7,3,0,0,3
Chicago Bears,Philadelphia Eagles,7,7,7,7,7,0,7,7
Philadelphia Eagles,Tampa Bay Buccaneers,0,7,0,7,7,7,7,4
Houston Oilers,San Diego Chargers,0,0,7,7,7,7,4,4
Miami Dolphins,Pittsburgh Steelers,0,0,7,4,0,0,7,4
Los Angeles Rams,Dallas Cowboys,0,4,4,1,2,5,2,9
Houston Oilers,Pittsburgh Steelers,7,0,0,3,3,7,7,7
Los Angeles Rams,Tampa Bay Buccaneers,0,6,6,9,0,0,0,0
Los Angeles Rams,Pittsburgh Steelers,7,3,9,9,3,0,7,1
Los Angeles Rams,Dallas Cowboys,6,3,3,3,3,3,7,4
Houston Oilers,Oakland Raiders,7,7,7,7,3,0,0,7
Minnesota Vikings,Philadelphia Eagles,7,4,6,6,0,7,1,1
Buffalo Bills,San Diego Chargers,0,4,4,4,3,3,0,0
Dallas Cowboys,Atlanta Falcons,3,0,0,0,0,7,4,7
Oakland Raiders,Cleveland Browns,0,7,7,4,0,6,2,2
Dallas Cowboys,Philadelphia Eagles,0,7,7,7,7,7,7,0
Oakland Raiders,San Diego Chargers,1,8,1,4,7,4,4,7
Oakland Raiders,Philadelphia Eagles,4,4,4,7,0,3,3,0
Buffalo Bills,New York Jets,7,4,4,1,0,0,3,7
New York Giants,Philadelphia Eagles,0,7,7,7,0,7,4,1
Tampa Bay Buccaneers,Dallas Cowboys,0,0,0,0,0,0,1,8
San Diego Chargers,Miami Dolphins,4,4,1,8,0,7,1,8
Buffalo Bills,Cincinnati Bengals,0,7,4,1,4,4,1,8
New York Giants,San Francisco 49ers,7,0,7,4,7,4,4,8
San Diego Chargers,Cincinnati Bengals,0,7,7,7,0,7,0,7
Dallas Cowboys,San Francisco 49ers,0,7,7,7,7,4,1,8
San Francisco 49ers,Cincinnati Bengals,7,0,0,6,0,0,7,1
St. Louis Cardinals,Green Bay Packers,3,9,9,6,7,8,8,1
New England Patriots,Miami Dolphins,0,3,6,3,0,4,1,8
Cleveland Browns,Los Angeles Raiders,0,0,0,0,3,3,0,7
Detroit Lions,Washington Redskins,0,0,7,7,0,4,1,1
Tampa Bay Buccaneers,Dallas Cowboys,0,0,7,7,6,3,6,0
Atlanta Falcons,Minnesota Vikings,7,7,1,4,3,3,6,0
New York Jets,Cincinnati Bengals,3,0,3,4,4,4,7,7
San Diego Chargers,Pittsburgh Steelers,3,7,7,1,4,4,1,8
New York Jets,Los Angeles Raiders,7,0,0,7,0,0,4,4
Minnesota Vikings,Washington Redskins,0,7,7,7,4,1,1,1
Green Bay Packers,Dallas Cowboys,0,7,3,6,6,0,3,7
San Diego Chargers,Miami Dolphins,0,3,3,3,7,7,7,4
Dallas Cowboys,Washington Redskins,3,3,7,7,7,4,1,1
New York Jets,Miami Dolphins,0,0,0,0,0,0,7,4
Washington Redskins,Miami Dolphins,0,0,3,7,7,7,7,7
Denver Broncos,Seattle Seahawks,7,7,7,7,7,0,7,1
Los Angeles Rams,Dallas Cowboys,7,7,4,4,0,7,0,7
Detroit Lions,San Francisco 49ers,3,9,9,3,7,4,7,4
Seattle Seahawks,Miami Dolphins,0,7,4,7,0,3,3,0
Pittsburgh Steelers,Los Angeles Raiders,3,3,0,0,7,7,8,8
Los Angeles Rams,Washington Redskins,0,7,7,7,7,8,4,1
Seattle Seahawks,Los Angeles Raiders,0,0,7,4,3,0,7,0
San Francisco 49ers,Washington Redskins,0,0,0,1,0,7,1,4
Washington Redskins,Los Angeles Raiders,0,3,9,9,7,1,5,8
Los Angeles Raiders,Seattle Seahawks,0,0,0,7,0,7,0,3
New York Giants,Los Angeles Rams,0,0,6,6,0,3,0,3
Seattle Seahawks,Miami Dolphins,0,0,0,0,7,4,8,1
New York Giants,San Francisco 49ers,0,0,0,0,4,1,1,1
Chicago Bears,Washington Redskins,0,0,3,3,3,3,7,9
Pittsburgh Steelers,Denver Broncos,0,0,7,4,7,7,7,7
Pittsburgh Steelers,Miami Dolphins,7,4,1,8,7,4,8,5
Chicago Bears,San Francisco 49ers,0,0,0,0,3,6,3,3
San Francisco 49ers,Miami Dolphins,7,8,8,8,0,6,6,6
New England Patriots,New York Jets,3,3,3,6,0,7,4,4
San Francisco 49ers,New York Giants,0,3,3,3,3,0,7,7
Cleveland Browns,Miami Dolphins,7,4,1,1,3,3,7,4
Dallas Cowboys,Los Angeles Rams,0,0,0,0,3,3,3,0
New York Giants,Chicago Bears,0,0,0,0,7,7,1,1
New England Patriots,Los Angeles Raiders,7,7,7,7,3,0,0,0
Los Angeles Rams,Chicago Bears,0,0,0,0,0,0,7,4
New England Patriots,Miami Dolphins,3,7,4,1,0,7,7,4
New England Patriots,Chicago Bears,3,3,3,0,3,3,4,6
Kansas City Chiefs,New York Jets,6,6,6,5,7,1,8,5
Los Angeles Rams,Washington Redskins,0,0,0,7,0,3,6,9
New York Jets,Cleveland Browns,7,0,3,0,7,0,0,0
Washington Redskins,Chicago Bears,7,7,4,7,0,3,3,3
New England Patriots,Denver Broncos,0,0,7,7,3,0,0,2
San Francisco 49ers,New York Giants,3,3,3,3,7,8,9,9
Denver Broncos,Cleveland Browns,0,0,3,0,7,0,0,0
Washington Redskins,New York Giants,0,0,0,0,0,7,7,7
New York Giants,Denver Broncos,7,9,6,9,0,0,0,0
Minnesota Vikings,New Orleans Saints,0,1,4,4,7,0,0,0
Seattle Seahawks,Houston Oilers,7,0,3,0,3,3,0,0
Indianapolis Colts,Cleveland Browns,7,4,4,1,7,4,1,8
Minnesota Vikings,San Francisco 49ers,3,0,0,6,3,3,7,4
Houston Oilers,Denver Broncos,0,3,3,0,4,4,7,4
Washington Redskins,Chicago Bears,0,4,1,1,7,4,7,7
Cleveland Browns,Denver Broncos,0,3,4,3,4,1,1,8
Minnesota Vikings,Washington Redskins,0,7,7,0,7,7,0,7
Washington Redskins,Denver Broncos,0,5,5,2,0,0,0,0
Houston Oilers,Cleveland Browns,0,4,4,4,3,9,6,3
Los Angeles Rams,Minnesota Vikings,0,7,0,7,4,4,1,8
Philadelphia Eagles,Chicago Bears,3,9,2,2,7,7,7,0
Seattle Seahawks,Cincinnati Bengals,0,0,0,3,7,1,1,1
Houston Oilers,Buffalo Bills,0,3,3,0,0,7,4,7
Minnesota Vikings,San Francisco 49ers,3,3,9,9,7,1,1,4
Buffalo Bills,Cincinnati Bengals,0,0,0,0,7,4,4,1
San Francisco 49ers,Chicago Bears,7,4,1,8,0,3,3,3
San Francisco 49ers,Cincinnati Bengals,3,3,6,0,0,3,3,6
Pittsburgh Steelers,Houston Oilers,7,0,3,3,0,6,9,3
Los Angeles Rams,Philadelphia Eagles,4,4,4,1,0,0,0,7
Buffalo Bills,Cleveland Browns,7,4,1,0,3,7,1,4
Minnesota Vikings,San Francisco 49ers,3,3,6,3,7,7,7,1
Pittsburgh Steelers,Denver Broncos,3,7,0,3,0,0,7,4
Los Angeles Rams,New York Giants,0,7,7,3,6,6,3,3
Cleveland Browns,Denver Broncos,0,0,1,1,3,0,4,7
Los Angeles Rams,San Francisco 49ers,3,3,3,3,0,1,4,0
San Francisco 49ers,Denver Broncos,3,7,1,5,3,3,0,0
Kansas City Chiefs,Miami Dolphins,3,0,6,6,0,3,3,7
Washington Redskins,Philadelphia Eagles,0,0,0,0,3,6,6,6
New Orleans Saints,Chicago Bears,0,3,3,6,3,0,3,6
Houston Oilers,Cincinnati Bengals,0,0,7,4,0,0,4,1
Miami Dolphins,Buffalo Bills,3,7,0,4,3,7,0,4
Washington Redskins,San Francisco 49ers,0,0,0,0,7,1,1,8
Chicago Bears,New York Giants,0,3,3,3,0,7,4,1
Cincinnati Bengals,Los Angeles Raiders,0,3,3,0,0,7,0,0
Los Angeles Raiders,Buffalo Bills,3,3,3,3,1,1,1,1
New York Giants,San Francisco 49ers,3,6,9,5,3,6,3,3
New York Giants,Buffalo Bills,3,0,7,0,3,2,2,9
Atlanta Falcons,New Orleans Saints,0,0,7,7,7,3,3,0
Los Angeles Raiders,Kansas City Chiefs,0,3,6,6,0,7,7,0
Dallas Cowboys,Chicago Bears,0,0,7,7,0,3,6,3
New York Jets,Houston Oilers,0,0,0,0,7,4,4,7
Houston Oilers,Denver Broncos,4,1,1,4,6,3,6,6
Atlanta Falcons,Washington Redskins,0,7,7,7,0,4,7,4
Kansas City Chiefs,Buffalo Bills,0,0,7,4,7,7,4,7
Dallas Cowboys,Detroit Lions,3,6,6,6,7,7,1,8
Denver Broncos,Buffalo Bills,0,0,0,7,0,0,7,0
Detroit Lions,Washington Redskins,0,0,0,0,0,7,7,1
Washington Redskins,Buffalo Bills,0,7,1,7,0,0,0,4
Kansas City Chiefs,San Diego Chargers,0,0,0,0,0,0,0,7
Washington Redskins,Minnesota Vikings,3,7,4,4,7,7,7,7
Houston Oilers,Buffalo Bills,7,8,5,8,3,3,1,8
Philadelphia Eagles,New Orleans Saints,7,7,0,6,7,7,0,0
Washington Redskins,San Francisco 49ers,3,3,6,3,7,7,7,0
Buffalo Bills,Pittsburgh Steelers,0,7,4,4,3,3,3,3
Philadelphia Eagles,Dallas Cowboys,3,3,3,0,7,7,7,4
San Diego Chargers,Miami Dolphins,0,0,0,0,0,1,1,1
Dallas Cowboys,San Francisco 49ers,3,0,7,0,7,0,3,0
Buffalo Bills,Miami Dolphins,3,3,3,9,3,3,3,0
Dallas Cowboys,Buffalo Bills,4,8,1,2,7,0,7,7
Green Bay Packers,Detroit Lions,0,7,1,8,3,0,7,4
Pittsburgh Steelers,Kansas City Chiefs,7,7,7,4,7,7,0,4
Minnesota Vikings,New York Giants,0,0,0,0,3,3,7,7
Denver Broncos,Los Angeles Raiders,7,1,1,4,4,1,5,2
Los Angeles Raiders,Buffalo Bills,0,7,3,3,0,3,2,9
New York Giants,San Francisco 49ers,0,3,3,3,9,3,7,4
Green Bay Packers,Dallas Cowboys,3,3,0,7,0,7,4,7
Kansas City Chiefs,Houston Oilers,0,0,7,8,0,0,0,0
Kansas City Chiefs,Buffalo Bills,6,6,3,3,7,0,0,0
San Francisco 49ers,Dallas Cowboys,0,7,4,1,7,8,5,8
Dallas Cowboys,Buffalo Bills,6,6,0,0,3,3,3,3
Detroit Lions,Green Bay Packers,0,0,3,2,7,0,3,6
Kansas City Chiefs,Miami Dolphins,4,7,7,7,7,7,7,7
Chicago Bears,Minnesota Vikings,0,4,1,5,3,9,2,8
New England Patriots,Cleveland Browns,0,0,0,3,3,0,7,0
Cleveland Browns,Pittsburgh Steelers,0,3,3,9,3,4,7,9
Chicago Bears,San Francisco 49ers,3,3,3,5,7,0,7,4
Green Bay Packers,Dallas Cowboys,3,9,9,9,4,8,8,5
Miami Dolphins,San Diego Chargers,7,1,1,1,0,6,5,2
San Diego Chargers,Pittsburgh Steelers,0,3,0,7,7,0,3,3
Dallas Cowboys,San Francisco 49ers,7,4,1,8,1,1,8,8
San Francisco 49ers,San Diego Chargers,4,8,2,9,7,0,8,6
Miami Dolphins,Buffalo Bills,0,0,0,2,0,4,7,7
Detroit Lions,Philadelphia Eagles,7,7,1,7,7,8,1,8
Indianapolis Colts,San Diego Chargers,0,4,1,5,3,0,7,0
Atlanta Falcons,Green Bay Packers,7,0,0,0,4,7,7,7
Buffalo Bills,Pittsburgh Steelers,0,7,4,1,7,3,6,0
Green Bay Packers,San Francisco 49ers,4,1,4,7,0,3,0,7
Philadelphia Eagles,Dallas Cowboys,0,3,3,1,3,7,3,0
Indianapolis Colts,Kansas City Chiefs,0,7,0,0,7,7,7,7
Green Bay Packers,Dallas Cowboys,0,7,7,7,4,4,4,8
Indianapolis Colts,Pittsburgh Steelers,3,6,9,6,3,0,3,0
Pittsburgh Steelers,Dallas Cowboys,0,7,7,7,0,3,0,7
Minnesota Vikings,Dallas Cowboys,0,0,7,5,7,0,7,0
Jacksonville Jaguars,Buffalo Bills,0,7,0,0,4,7,0,7
Indianapolis Colts,Pittsburgh Steelers,0,4,4,4,0,3,1,2
Philadelphia Eagles,San Francisco 49ers,0,0,0,0,0,7,4,4
San Francisco 49ers,Green Bay Packers,0,7,4,4,4,1,8,5
Jacksonville Jaguars,Denver Broncos,0,3,0,0,2,2,2,7
Dallas Cowboys,Carolina Panthers,3,1,4,7,7,7,0,6
Pittsburgh Steelers,New England Patriots,0,0,3,3,4,1,1,8
Carolina Panthers,Green Bay Packers,7,0,3,3,0,7,7,0
Jacksonville Jaguars,New England Patriots,0,3,6,6,7,3,3,0
New England Patriots,Green Bay Packers,4,4,1,1,0,7,5,5
Jacksonville Jaguars,Denver Broncos,0,7,7,7,4,1,1,2
