Away,Home,Away Q1,Away Q2,Away Q3,Away Q4,Home Q1,Home Q2,Home Q3,Home Q4
Minnesota Vikings,New York Giants,0,3,0,3,6,9,9,2
Miami Dolphins,New England Patriots,0,0,0,3,0,7,7,7
Detroit Lions,Tampa Bay Buccaneers,0,0,3,0,3,3,0,0
New England Patriots,Pittsburgh Steelers,0,3,3,6,7,7,7,7
Minnesota Vikings,San Francisco 49ers,7,7,4,2,7,1,1,8
Tampa Bay Buccaneers,Green Bay Packers,0,0,7,7,7,3,3,1
Denver Broncos,Kansas City Chiefs,0,7,7,4,0,0,0,0
Green Bay Packers,San Francisco 49ers,3,3,3,3,0,3,3,0
Denver Broncos,Pittsburgh Steelers,7,4,4,4,7,4,4,1
Green Bay Packers,Denver Broncos,7,4,7,4,7,7,4,1
Arizona Cardinals,Dallas Cowboys,7,0,7,0,0,0,0,7
Buffalo Bills,Miami Dolphins,0,7,4,7,3,6,4,4
New England Patriots,Jacksonville Jaguars,0,0,7,0,6,2,2,5
Green Bay Packers,San Francisco 49ers,3,7,7,7,7,0,0,0
San Francisco 49ers,Atlanta Falcons,0,0,0,8,7,4,7,0
Miami Dolphins,Denver Broncos,0,3,3,3,4,1,4,8
Arizona Cardinals,Minnesota Vikings,0,7,4,1,7,4,4,1
Jacksonville Jaguars,New York Jets,0,7,4,4,7,7,1,4
Atlanta Falcons,Minnesota Vikings,7,4,7,7,7,0,0,7
New York Jets,Denver Broncos,0,3,0,0,0,0,0,3
Denver Broncos,Atlanta Falcons,7,7,7,4,3,6,6,9
Buffalo Bills,Tennessee Titans,0,0,7,6,0,2,2,2
Detroit Lions,Washington Redskins,0,0,0,3,4,7,7,7
Miami Dolphins,Seattle Seahawks,3,3,3,0,7,0,7,7
Dallas Cowboys,Minnesota Vikings,0,0,0,0,3,7,0,7
Miami Dolphins,Jacksonville Jaguars,0,7,7,7,4,1,5,2
Washington Redskins,Tampa Bay Buccaneers,0,3,3,3,0,0,7,4
Minnesota Vikings,St. Louis Rams,3,7,7,7,4,4,5,9
Tennessee Titans,Indianapolis Colts,0,6,3,9,3,9,9,6
Tampa Bay Buccaneers,St. Louis Rams,0,3,3,6,3,5,5,1
Tennessee Titans,Jacksonville Jaguars,7,0,6,3,7,4,4,4
St. Louis Rams,Tennessee Titans,3,9,6,3,0,0,6,6
Indianapolis Colts,Miami Dolphins,3,4,4,7,0,0,7,7
St. Louis Rams,New Orleans Saints,7,7,7,8,0,0,7,1
Tampa Bay Buccaneers,Philadelphia Eagles,0,3,3,3,0,4,4,1
Denver Broncos,Baltimore Ravens,0,3,3,3,0,4,1,1
New Orleans Saints,Minnesota Vikings,3,3,0,6,0,7,7,4
Miami Dolphins,Oakland Raiders,0,0,0,0,0,0,7,7
Philadelphia Eagles,New York Giants,0,3,3,0,7,7,7,0
Baltimore Ravens,Tennessee Titans,0,7,0,4,7,7,0,0
Minnesota Vikings,New York Giants,0,0,0,0,4,4,1,1
Baltimore Ravens,Oakland Raiders,0,0,3,6,0,0,3,3
Baltimore Ravens,New York Giants,7,0,4,4,0,0,7,7
Tampa Bay Buccaneers,Philadelphia Eagles,3,9,9,9,3,7,4,1
New York Jets,Oakland Raiders,0,3,0,4,6,6,6,8
San Francisco 49ers,Green Bay Packers,0,7,7,5,6,6,5,5
Baltimore Ravens,Miami Dolphins,0,7,4,0,3,3,3,3
Oakland Raiders,New England Patriots,0,7,3,3,0,0,3,3
Philadelphia Eagles,Chicago Bears,6,3,0,3,0,7,4,9
Baltimore Ravens,Pittsburgh Steelers,0,3,0,0,0,0,0,7
Green Bay Packers,St. Louis Rams,7,0,0,7,7,4,8,5
New England Patriots,Pittsburgh Steelers,7,4,1,4,0,3,7,7
Philadelphia Eagles,St. Louis Rams,3,7,7,4,0,3,2,9
St. Louis Rams,New England Patriots,3,3,3,7,0,4,7,0
Atlanta Falcons,Green Bay Packers,4,4,7,7,0,0,7,7
Indianapolis Colts,New York Jets,0,0,0,0,7,4,4,1
Cleveland Browns,Pittsburgh Steelers,7,7,4,3,0,7,4,6
New York Giants,San Francisco 49ers,7,8,8,8,7,4,2,9
Pittsburgh Steelers,Tennessee Titans,0,3,0,1,4,4,8,1
Atlanta Falcons,Philadelphia Eagles,0,6,6,6,0,3,3,0
New York Jets,Oakland Raiders,3,0,0,0,3,0,7,0
San Francisco 49ers,Tampa Bay Buccaneers,3,6,6,6,7,8,1,1
Tennessee Titans,Oakland Raiders,7,7,4,4,4,4,7,1
Tampa Bay Buccaneers,Philadelphia Eagles,0,7,0,7,7,0,0,0
Tampa Bay Buccaneers,Oakland Raiders,3,0,4,8,3,3,9,1
Dallas Cowboys,Carolina Panthers,0,3,3,0,6,6,3,9
Tennessee Titans,Baltimore Ravens,7,7,4,0,7,0,0,7
Denver Broncos,Indianapolis Colts,3,3,3,0,4,1,1,1
Seattle Seahawks,Green Bay Packers,3,6,0,7,0,3,3,7
Tennessee Titans,New England Patriots,7,7,4,4,7,4,4,7
Carolina Panthers,St. Louis Rams,0,0,6,3,3,9,2,3
Green Bay Packers,Philadelphia Eagles,4,4,4,7,0,7,7,7
Indianapolis Colts,Kansas City Chiefs,4,1,1,8,3,0,4,1
Indianapolis Colts,New England Patriots,0,0,7,4,7,5,1,4
Carolina Panthers,Philadelphia Eagles,0,7,4,4,0,3,3,3
New England Patriots,Carolina Panthers,0,4,4,2,0,0,0,9
New York Jets,San Diego Chargers,0,7,7,7,0,7,7,7
St. Louis Rams,Seattle Seahawks,7,4,7,7,3,0,3,0
Denver Broncos,Indianapolis Colts,0,3,7,4,4,5,5,9
Minnesota Vikings,Green Bay Packers,7,4,4,1,3,0,0,7
St. Louis Rams,Atlanta Falcons,7,7,7,7,4,8,8,7
New York Jets,Pittsburgh Steelers,0,0,7,7,0,0,0,7
Indianapolis Colts,New England Patriots,0,3,3,3,0,6,3,0
Minnesota Vikings,Philadelphia Eagles,0,7,7,4,7,1,1,7
New England Patriots,Pittsburgh Steelers,0,4,1,1,3,3,7,7
Atlanta Falcons,Philadelphia Eagles,0,0,0,0,7,4,0,7
Philadelphia Eagles,New England Patriots,0,7,4,1,0,7,4,4
Jacksonville Jaguars,New England Patriots,0,3,3,3,0,7,1,8
Washington Redskins,Tampa Bay Buccaneers,4,7,7,7,0,3,0,0
Carolina Panthers,New York Giants,0,0,7,3,0,0,0,0
Pittsburgh Steelers,Cincinnati Bengals,0,4,8,1,0,7,7,7
New England Patriots,Denver Broncos,0,3,6,3,0,0,7,7
Washington Redskins,Seattle Seahawks,0,3,3,0,0,7,4,0
Carolina Panthers,Chicago Bears,7,6,3,9,0,7,4,1
Pittsburgh Steelers,Indianapolis Colts,4,4,1,1,0,3,3,8
Carolina Panthers,Seattle Seahawks,0,7,7,4,0,0,7,4
Pittsburgh Steelers,Denver Broncos,3,4,4,4,0,3,0,7
Seattle Seahawks,Pittsburgh Steelers,3,3,0,0,0,7,4,1
Kansas City Chiefs,Indianapolis Colts,0,0,8,8,6,9,6,3
Dallas Cowboys,Seattle Seahawks,3,0,7,0,3,6,3,1
New York Jets,New England Patriots,3,0,3,6,7,7,3,7
New York Giants,Philadelphia Eagles,7,0,0,0,0,7,0,3
Philadelphia Eagles,New Orleans Saints,0,4,1,4,3,3,7,7
Indianapolis Colts,Baltimore Ravens,6,9,2,5,0,3,3,6
Seattle Seahawks,Chicago Bears,0,4,4,4,7,1,1,4
New England Patriots,San Diego Chargers,3,0,3,4,0,4,4,1
New Orleans Saints,Chicago Bears,0,7,4,4,3,6,8,9
New England Patriots,Indianapolis Colts,7,1,8,4,3,6,1,8
Indianapolis Colts,Chicago Bears,6,6,2,9,4,4,7,7
Jacksonville Jaguars,Pittsburgh Steelers,7,1,8,1,7,7,0,9
Washington Redskins,Seattle Seahawks,0,0,0,4,7,0,3,5
New York Giants,Tampa Bay Buccaneers,0,4,7,4,7,7,7,4
Tennessee Titans,San Diego Chargers,3,6,6,6,0,0,0,7
Seattle Seahawks,Green Bay Packers,4,7,0,0,4,8,5,2
Jacksonville Jaguars,New England Patriots,7,4,7,0,7,4,8,1
New York Giants,Dallas Cowboys,7,4,4,1,0,4,7,7
San Diego Chargers,Indianapolis Colts,0,7,1,8,7,0,7,4
San Diego Chargers,New England Patriots,3,9,2,2,0,4,4,1
New York Giants,Green Bay Packers,3,6,0,0,0,0,7,0
New York Giants,New England Patriots,3,3,3,7,0,7,7,4
Atlanta Falcons,Arizona Cardinals,0,7,7,4,7,4,8,0
Indianapolis Colts,San Diego Chargers,7,0,7,7,0,4,4,7
Philadelphia Eagles,Minnesota Vikings,6,6,6,6,0,4,4,4
Baltimore Ravens,Miami Dolphins,3,3,0,7,3,3,3,9
Arizona Cardinals,Carolina Panthers,4,7,0,3,7,7,7,3
Baltimore Ravens,Tennessee Titans,7,7,7,3,7,7,7,0
San Diego Chargers,Pittsburgh Steelers,7,0,0,4,7,4,1,5
Philadelphia Eagles,New York Giants,7,0,3,3,3,8,1,1
Baltimore Ravens,Pittsburgh Steelers,0,7,7,4,6,3,6,3
Philadelphia Eagles,Arizona Cardinals,3,6,9,5,7,4,4,2
Pittsburgh Steelers,Arizona Cardinals,3,7,0,7,0,7,7,3
Philadelphia Eagles,Dallas Cowboys,0,7,7,4,0,7,4,4
New York Jets,Cincinnati Bengals,0,4,1,4,7,7,7,4
Green Bay Packers,Arizona Cardinals,0,0,4,5,7,4,8,5
Baltimore Ravens,New England Patriots,4,4,7,3,0,7,4,4
Baltimore Ravens,Indianapolis Colts,3,3,3,3,3,7,7,0
Arizona Cardinals,New Orleans Saints,7,4,4,4,1,5,5,5
Dallas Cowboys,Minnesota Vikings,0,3,3,3,7,7,7,4
New York Jets,San Diego Chargers,0,0,3,7,0,7,7,4
New York Jets,Indianapolis Colts,0,7,7,7,0,3,0,0
Minnesota Vikings,New Orleans Saints,4,4,1,8,7,4,1,8
New Orleans Saints,Indianapolis Colts,0,6,6,1,0,0,7,7
New York Jets,Indianapolis Colts,0,0,7,7,0,7,0,6
New Orleans Saints,Seattle Seahawks,0,0,0,6,7,4,4,1
Green Bay Packers,Philadelphia Eagles,7,4,1,1,0,3,0,6
Baltimore Ravens,Kansas City Chiefs,3,0,3,0,7,7,7,7
Baltimore Ravens,Pittsburgh Steelers,4,1,1,4,7,7,1,1
Green Bay Packers,Atlanta Falcons,0,8,2,8,7,4,4,1
Seattle Seahawks,Chicago Bears,0,0,3,4,4,1,8,5
New York Jets,New England Patriots,0,4,4,8,3,3,1,1
New York Jets,Pittsburgh Steelers,0,3,0,9,7,4,4,4
Green Bay Packers,Chicago Bears,7,4,4,1,0,0,0,4
Pittsburgh Steelers,Green Bay Packers,0,0,7,5,4,1,1,1
Cincinnati Bengals,Houston Texans,7,0,0,0,7,7,4,1
Detroit Lions,New Orleans Saints,7,4,1,8,0,0,4,5
Pittsburgh Steelers,Denver Broncos,6,6,3,3,0,0,0,3
Atlanta Falcons,New York Giants,0,2,2,2,0,7,7,4
Denver Broncos,New England Patriots,0,7,0,0,4,5,2,5
New Orleans Saints,San Francisco 49ers,0,4,4,2,4,7,0,6
Houston Texans,Baltimore Ravens,3,3,3,3,7,7,7,0
New York Giants,Green Bay Packers,0,0,0,7,3,0,3,0
Baltimore Ravens,New England Patriots,0,0,0,0,3,3,6,3
New York Giants,San Francisco 49ers,0,0,0,7,7,7,4,7
New York Giants,New England Patriots,9,9,5,1,0,0,7,7
Minnesota Vikings,Green Bay Packers,3,3,3,0,7,7,4,4
Cincinnati Bengals,Houston Texans,0,7,0,3,3,9,6,9
Indianapolis Colts,Baltimore Ravens,0,6,9,9,0,0,7,4
Seattle Seahawks,Washington Redskins,0,3,3,4,4,4,4,4
Green Bay Packers,San Francisco 49ers,4,1,4,1,7,4,1,5
Baltimore Ravens,Denver Broncos,4,1,8,5,4,1,8,5
Seattle Seahawks,Atlanta Falcons,0,0,7,8,0,0,7,0
Houston Texans,New England Patriots,3,3,3,8,7,7,1,1
San Francisco 49ers,Atlanta Falcons,0,4,1,8,0,4,4,4
Baltimore Ravens,New England Patriots,0,7,4,8,3,3,3,3
San Francisco 49ers,Baltimore Ravens,3,6,3,1,7,1,8,4
Kansas City Chiefs,Indianapolis Colts,0,1,1,4,7,0,1,5
New Orleans Saints,Philadelphia Eagles,0,6,0,6,0,7,4,4
San Diego Chargers,Cincinnati Bengals,7,7,7,7,0,0,0,0
San Francisco 49ers,Green Bay Packers,6,3,3,3,0,0,0,0
Indianapolis Colts,New England Patriots,7,2,2,2,4,1,9,3
New Orleans Saints,Seattle Seahawks,0,0,0,5,6,6,6,3
San Diego Chargers,Denver Broncos,0,0,0,7,7,4,7,4
San Francisco 49ers,Carolina Panthers,6,3,0,3,0,0,0,0
New England Patriots,Denver Broncos,0,3,3,6,3,3,0,6
San Francisco 49ers,Seattle Seahawks,3,0,7,7,0,3,3,3
Seattle Seahawks,Denver Broncos,8,2,6,3,0,0,8,8
Arizona Cardinals,Carolina Panthers,0,4,4,6,0,3,7,7
Baltimore Ravens,Pittsburgh Steelers,0,0,0,0,3,9,9,7
Cincinnati Bengals,Indianapolis Colts,7,0,0,0,7,3,3,6
Detroit Lions,Dallas Cowboys,4,7,0,0,0,7,4,4
Baltimore Ravens,New England Patriots,4,1,8,1,7,4,8,5
Carolina Panthers,Seattle Seahawks,0,0,0,7,7,4,4,1
Dallas Cowboys,Green Bay Packers,7,4,1,1,7,0,0,6
Indianapolis Colts,Denver Broncos,0,4,1,4,7,0,0,3
Indianapolis Colts,New England Patriots,0,7,7,7,4,7,8,5
Green Bay Packers,Seattle Seahawks,3,6,6,2,0,0,7,2
Seattle Seahawks,New England Patriots,0,4,4,4,0,4,4,8
Kansas City Chiefs,Houston Texans,7,3,0,0,0,0,0,0
Pittsburgh Steelers,Cincinnati Bengals,0,6,5,8,0,0,0,6
Green Bay Packers,Washington Redskins,0,7,4,5,5,1,8,8
Seattle Seahawks,Minnesota Vikings,0,0,0,0,3,3,9,9
Green Bay Packers,Arizona Cardinals,0,6,3,0,7,7,0,0
Kansas City Chiefs,New England Patriots,3,6,3,0,7,4,1,7
Seattle Seahawks,Carolina Panthers,0,0,4,4,4,1,1,1
Pittsburgh Steelers,Denver Broncos,7,0,3,6,6,9,2,3
Arizona Cardinals,Carolina Panthers,0,7,7,5,7,4,4,9
New England Patriots,Denver Broncos,6,9,2,8,7,7,7,0
Denver Broncos,Carolina Panthers,0,3,6,4,0,7,7,0
Oakland Raiders,Houston Texans,7,7,7,4,0,0,0,7
Detroit Lions,Seattle Seahawks,0,3,6,6,0,0,0,6
New York Giants,Green Bay Packers,3,6,3,3,0,4,4,8
Miami Dolphins,Pittsburgh Steelers,3,6,6,2,4,0,0,0
Seattle Seahawks,Atlanta Falcons,7,0,3,0,0,9,6,6
Houston Texans,New England Patriots,3,3,3,6,4,7,4,4
Green Bay Packers,Dallas Cowboys,7,1,8,4,3,3,3,1
Pittsburgh Steelers,Kansas City Chiefs,6,2,5,8,7,7,0,6
Green Bay Packers,Atlanta Falcons,0,0,5,1,0,4,7,4
Pittsburgh Steelers,New England Patriots,0,9,9,7,0,7,3,6
New England Patriots,Atlanta Falcons,0,3,9,8,0,1,8,8
Atlanta Falcons,Los Angeles Rams,6,3,9,6,0,0,0,3
Tennessee Titans,Kansas City Chiefs,0,3,0,2,4,1,1,1
Buffalo Bills,Jacksonville Jaguars,0,3,3,3,0,3,0,0
Carolina Panthers,New Orleans Saints,0,9,2,6,7,1,4,1
Tennessee Titans,New England Patriots,7,7,7,4,0,1,8,5
Atlanta Falcons,Philadelphia Eagles,3,0,0,0,0,9,2,5
New Orleans Saints,Minnesota Vikings,0,0,7,4,0,7,7,9
Jacksonville Jaguars,Pittsburgh Steelers,4,8,8,5,0,4,1,2
Jacksonville Jaguars,New England Patriots,0,4,7,0,3,0,0,4
Minnesota Vikings,Philadelphia Eagles,7,7,7,7,7,4,1,8
Philadelphia Eagles,New England Patriots,9,2,9,1,3,2,6,3
Indianapolis Colts,Houston Texans,4,1,1,1,0,0,0,7
Seattle Seahawks,Dallas Cowboys,0,6,4,2,3,0,0,4
Philadelphia Eagles,Chicago Bears,3,3,0,6,0,6,6,5
Los Angeles Chargers,Baltimore Ravens,6,2,2,3,0,0,3,7
Indianapolis Colts,Kansas City Chiefs,0,7,7,3,4,4,4,1
Dallas Cowboys,Los Angeles Rams,7,7,5,2,3,0,3,0
Philadelphia Eagles,New Orleans Saints,4,4,4,4,0,0,7,0
Los Angeles Chargers,New England Patriots,7,7,4,8,4,5,8,1
New England Patriots,Kansas City Chiefs,7,4,7,1,0,0,7,1
Los Angeles Rams,New Orleans Saints,0,0,7,3,3,3,0,3
Los Angeles Rams,New England Patriots,0,0,3,3,0,3,3,3
Buffalo Bills,Houston Texans,7,3,6,9,0,0,8,9
Tennessee Titans,New England Patriots,7,4,4,0,3,3,3,3
Minnesota Vikings,New Orleans Saints,3,3,0,0,3,0,0,0
Seattle Seahawks,Philadelphia Eagles,3,0,7,7,0,3,9,9
Minnesota Vikings,San Francisco 49ers,7,0,0,0,7,4,4,7
Tennessee Titans,Baltimore Ravens,7,4,8,8,0,6,6,2
Seattle Seahawks,Green Bay Packers,3,3,7,3,7,1,8,8
Houston Texans,Kansas City Chiefs,1,4,1,1,0,8,1,1
Tennessee Titans,Kansas City Chiefs,0,7,7,4,7,1,1,5
Green Bay Packers,San Francisco 49ers,0,0,7,0,7,7,4,7
San Francisco 49ers,Kansas City Chiefs,3,0,0,0,7,0,0,1
Indianapolis Colts,Buffalo Bills,3,0,0,4,7,4,7,7
Los Angeles Rams,Seattle Seahawks,3,0,0,0,0,0,3,0
Tampa Bay Buccaneers,Washington Football Team,9,8,8,1,0,7,6,3
Cleveland Browns,Pittsburgh Steelers,8,5,5,8,0,0,3,7
Chicago Bears,New Orleans Saints,0,3,3,9,7,7,4,1
Baltimore Ravens,Tennessee Titans,0,0,7,0,0,0,0,3
Los Angeles Rams,Green Bay Packers,3,0,8,8,3,9,5,2
Baltimore Ravens,Buffalo Bills,0,3,3,3,3,3,7,7
Cleveland Browns,Kansas City Chiefs,3,3,0,7,6,9,2,2
Tampa Bay Buccaneers,New Orleans Saints,0,3,0,0,6,3,0,0
Buffalo Bills,Kansas City Chiefs,9,2,5,4,0,1,1,8
Tampa Bay Buccaneers,Green Bay Packers,7,1,8,1,0,0,3,6
Tampa Bay Buccaneers,Kansas City Chiefs,7,1,1,1,3,6,9,9
